STATE,ANNUAL
ACRE,4675
ACRE,4675
ACRE,4669
ACRE,4662
ACRE,4592
ACRE,4574
ACRE,4605
ACRE,4563
ACRE,4605
ACRE,4612
ACRE,4592
ACRE,4636
ACRE,4682
ACRE,4577
ACRE,4743
ACRE,4592
ACRE,4763
ACRE,4633
ACRE,4586
ACRE,4707
ACRE,4728
ACRE,4689
ALAGOAS,5449
ALAGOAS,5345
ALAGOAS,5443
ALAGOAS,5438
ALAGOAS,5406
ALAGOAS,5330
ALAGOAS,5270
ALAGOAS,5470
ALAGOAS,5469
ALAGOAS,5255
ALAGOAS,5460
ALAGOAS,5294
ALAGOAS,5248
ALAGOAS,5260
ALAGOAS,5237
ALAGOAS,5231
ALAGOAS,5378
ALAGOAS,5315
ALAGOAS,5288
ALAGOAS,5237
ALAGOAS,5317
ALAGOAS,5400
ALAGOAS,5400
ALAGOAS,5450
ALAGOAS,5342
ALAGOAS,5309
ALAGOAS,5268
ALAGOAS,5289
ALAGOAS,5232
ALAGOAS,5455
ALAGOAS,5530
ALAGOAS,5470
ALAGOAS,5404
ALAGOAS,5358
ALAGOAS,5358
ALAGOAS,5385
ALAGOAS,5333
ALAGOAS,5241
ALAGOAS,5241
ALAGOAS,5228
ALAGOAS,5143
ALAGOAS,5308
ALAGOAS,5360
ALAGOAS,5360
ALAGOAS,5360
ALAGOAS,5482
ALAGOAS,5420
ALAGOAS,5431
ALAGOAS,5410
ALAGOAS,5378
ALAGOAS,5356
ALAGOAS,5359
ALAGOAS,5279
ALAGOAS,5140
ALAGOAS,5212
ALAGOAS,5242
ALAGOAS,5552
ALAGOAS,5461
ALAGOAS,5456
ALAGOAS,5409
ALAGOAS,5376
ALAGOAS,5443
ALAGOAS,5378
ALAGOAS,5227
ALAGOAS,5227
ALAGOAS,5188
ALAGOAS,5107
ALAGOAS,5151
ALAGOAS,5217
ALAGOAS,5436
ALAGOAS,5520
ALAGOAS,5465
ALAGOAS,5449
ALAGOAS,5399
ALAGOAS,5263
ALAGOAS,5168
ALAGOAS,5183
ALAGOAS,5111
ALAGOAS,5332
ALAGOAS,5592
ALAGOAS,5516
ALAGOAS,5481
ALAGOAS,5481
ALAGOAS,5122
ALAGOAS,5166
ALAGOAS,5166
ALAGOAS,5220
ALAGOAS,5283
ALAGOAS,5417
ALAGOAS,5609
ALAGOAS,5520
ALAGOAS,4984
ALAGOAS,5351
ALAGOAS,5523
ALAGOAS,5074
ALAGOAS,5144
ALAGOAS,5356
ALAGOAS,5008
ALAGOAS,5084
ALAGOAS,5148
ALAGOAS,5154
ALAGOAS,5183
AMAPÁ,4666
AMAPÁ,4658
AMAPÁ,4845
AMAPÁ,4832
AMAPÁ,4944
AMAPÁ,4735
AMAPÁ,4549
AMAPÁ,4558
AMAPÁ,4576
AMAPÁ,4689
AMAPÁ,4720
AMAPÁ,4597
AMAPÁ,4650
AMAPÁ,4795
AMAPÁ,4777
AMAPÁ,4714
AMAZONAS,4554
AMAZONAS,4496
AMAZONAS,4689
AMAZONAS,4528
AMAZONAS,4565
AMAZONAS,4459
AMAZONAS,4462
AMAZONAS,4628
AMAZONAS,4549
AMAZONAS,4471
AMAZONAS,4481
AMAZONAS,4431
AMAZONAS,4423
AMAZONAS,4473
AMAZONAS,4441
AMAZONAS,4516
AMAZONAS,4541
AMAZONAS,4421
AMAZONAS,4505
AMAZONAS,4516
AMAZONAS,4365
AMAZONAS,4391
AMAZONAS,4369
AMAZONAS,4328
AMAZONAS,4468
AMAZONAS,4533
AMAZONAS,4437
AMAZONAS,4520
AMAZONAS,4368
AMAZONAS,4527
AMAZONAS,4540
AMAZONAS,4497
AMAZONAS,4470
AMAZONAS,4382
AMAZONAS,4468
AMAZONAS,4522
AMAZONAS,4554
AMAZONAS,4532
AMAZONAS,4525
AMAZONAS,4327
AMAZONAS,4541
AMAZONAS,4438
AMAZONAS,4572
AMAZONAS,4376
AMAZONAS,4532
AMAZONAS,4454
AMAZONAS,4573
AMAZONAS,4494
AMAZONAS,4332
AMAZONAS,4538
AMAZONAS,4538
AMAZONAS,4568
AMAZONAS,4618
AMAZONAS,4579
AMAZONAS,4519
AMAZONAS,4651
AMAZONAS,4371
AMAZONAS,4555
AMAZONAS,4588
