STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ACRE,2129,2524,2578,2409,2069,1792,1624,1574,1804,2059,2198,2351,2561
ACRE,2129,2524,2578,2409,2069,1792,1624,1574,1804,2059,2198,2351,2561
ACRE,2131,2505,2590,2403,2103,1796,1638,1587,1743,2006,2225,2392,2583
ACRE,2125,2527,2577,2396,2065,1789,1591,1569,1791,2052,2219,2362,2559
ACRE,2140,2574,2574,2417,2103,1809,1644,1590,1807,2056,2188,2361,2552
ACRE,2138,2581,2556,2385,2079,1791,1631,1579,1822,2104,2196,2399,2535
ACRE,2154,2567,2602,2440,2118,1830,1673,1615,1818,2050,2202,2393,2545
ACRE,2162,2564,2565,2429,2111,1827,1643,1614,1857,2115,2241,2421,2552
ACRE,2150,2548,2582,2419,2122,1840,1674,1620,1811,2045,2196,2387,2553
ACRE,2146,2544,2576,2435,2121,1840,1644,1608,1823,2065,2177,2385,2533
ACRE,2154,2527,2607,2442,2119,1836,1654,1588,1801,2096,2214,2408,2560
ACRE,2167,2532,2595,2435,2154,1865,1676,1626,1767,2093,2284,2412,2562
ACRE,2211,2568,2616,2494,2196,1939,1740,1703,1804,2101,2307,2438,2623
ACRE,2170,2554,2553,2442,2173,1858,1707,1637,1834,2105,2253,2391,2535
ACRE,2183,2501,2570,2468,2176,1919,1727,1719,1811,2062,2281,2390,2575
ACRE,2173,2555,2579,2456,2175,1917,1715,1637,1793,2060,2248,2379,2558
ACRE,2172,2470,2547,2472,2160,1935,1740,1729,1786,2074,2243,2382,2530
ACRE,2185,2491,2583,2433,2178,1984,1767,1685,1824,2071,2265,2383,2559
ACRE,2196,2500,2563,2452,2192,1983,1776,1690,1863,2111,2265,2418,2542
ACRE,2198,2461,2546,2453,2214,1971,1782,1773,1830,2120,2282,2406,2543
ACRE,2196,2438,2547,2475,2213,1959,1786,1792,1822,2133,2273,2387,2521
ACRE,2213,2470,2598,2451,2214,1984,1789,1785,1849,2147,2302,2429,2540
ALAGOAS,2086,2282,2287,2135,2048,1860,1747,1827,1981,2116,2197,2275,2276
ALAGOAS,2134,2304,2374,2233,2058,1876,1750,1823,2000,2181,2296,2325,2384
ALAGOAS,2084,2266,2228,2137,2026,1862,1760,1829,2012,2146,2208,2277,2256
ALAGOAS,2085,2236,2272,2187,1997,1868,1713,1811,1986,2117,2264,2298,2277
ALAGOAS,2131,2339,2374,2250,2043,1884,1729,1821,1997,2139,2306,2322,2368
ALAGOAS,2171,2404,2439,2323,2085,1912,1734,1816,2012,2189,2361,2374,2408
ALAGOAS,2184,2399,2455,2328,2108,1925,1766,1852,2032,2194,2352,2365,2431
ALAGOAS,2079,2281,2254,2151,2004,1837,1731,1794,1966,2131,2241,2291,2266
ALAGOAS,2116,2336,2384,2243,2042,1873,1721,1808,1964,2100,2263,2296,2359
ALAGOAS,2212,2452,2506,2367,2141,1954,1788,1872,2054,2201,2374,2381,2449
ALAGOAS,2083,2289,2255,2116,2004,1839,1766,1835,2004,2125,2215,2292,2250
ALAGOAS,2228,2473,2527,2354,2167,1968,1817,1884,2093,2223,2393,2386,2452
ALAGOAS,2223,2442,2515,2373,2148,1959,1811,1889,2062,2235,2410,2380,2456
ALAGOAS,2212,2407,2494,2335,2124,1959,1816,1871,2053,2242,2414,2390,2446
ALAGOAS,2220,2413,2512,2317,2143,1973,1820,1884,2084,2246,2424,2390,2442
ALAGOAS,2219,2416,2503,2297,2149,1964,1819,1881,2089,2238,2434,2393,2440
ALAGOAS,2173,2404,2466,2313,2096,1919,1772,1864,2026,2183,2341,2289,2401
ALAGOAS,2213,2453,2509,2345,2150,1962,1849,1896,2063,2237,2365,2330,2396
ALAGOAS,2215,2436,2499,2339,2157,1960,1853,1898,2072,2243,2382,2344,2398
ALAGOAS,2225,2392,2498,2308,2156,1955,1851,1895,2103,2269,2431,2414,2423
ALAGOAS,2150,2306,2363,2211,2106,1919,1812,1866,2073,2192,2319,2299,2335
ALAGOAS,2112,2269,2290,2158,2041,1879,1800,1849,2040,2156,2270,2286,2310
ALAGOAS,2112,2269,2290,2158,2041,1879,1800,1849,2040,2156,2270,2286,2310
ALAGOAS,2144,2323,2429,2263,2080,1915,1773,1873,2017,2164,2287,2248,2362
ALAGOAS,2196,2448,2502,2321,2141,1938,1797,1876,2064,2212,2352,2287,2409
