NAME,STATE,REGION,DIFFUSE,PAR
Brasil√©ia,Acre,North,2129,2312
Epitaciol√¢ndia,Acre,North,2129,2312
Assis Brasil,Acre,North,2131,2300
Xapuri,Acre,North,2125,2319
Capixaba,Acre,North,2140,2301
Pl√°cido de Castro,Acre,North,2138,2300
Senador Guiomard,Acre,North,2154,2310
Acrel√¢ndia,Acre,North,2162,2294
Rio Branco,Acre,North,2150,2313
Bujari,Acre,North,2146,2314
Porto Acre,Acre,North,2154,2316
Santa Rosa do Purus,Acre,North,2167,2283
Jord√£o,Acre,North,2211,2258
Sena Madureira,Acre,North,2170,2296
Marechal Thaumaturgo,Acre,North,2183,2272
Manoel Urbano,Acre,North,2173,2292
Porto Walter,Acre,North,2172,2288
Tarauac√°,Acre,North,2185,2286
Feij√≥,Acre,North,2196,2273
Rodrigues Alves,Acre,North,2198,2267
M√¢ncio Lima,Acre,North,2196,2272
Cruzeiro do Sul,Acre,North,2213,2259
Pia√ßabu√ßu,Alagoas,Northeast,2086,2415
Penedo,Alagoas,Northeast,2134,2363
Feliz Deserto,Alagoas,Northeast,2084,2412
Porto Real do Col√©gio,Alagoas,Northeast,2085,2383
S√£o Br√°s,Alagoas,Northeast,2131,2358
Olho d'√Ågua Grande,Alagoas,Northeast,2171,2329
Igreja Nova,Alagoas,Northeast,2184,2309
Coruripe,Alagoas,Northeast,2079,2426
Traipu,Alagoas,Northeast,2116,2377
Campo Grande,Alagoas,Northeast,2212,2292
Jequi√° da Praia,Alagoas,Northeast,2083,2420
Girau do Ponciano,Alagoas,Northeast,2228,2297
Feira Grande,Alagoas,Northeast,2223,2286
S√£o Sebasti√£o,Alagoas,Northeast,2212,2297
Junqueiro,Alagoas,Northeast,2220,2292
Teot√¥nio Vilela,Alagoas,Northeast,2219,2294
Belo Monte,Alagoas,Northeast,2173,2325
Lagoa da Canoa,Alagoas,Northeast,2213,2303
Arapiraca,Alagoas,Northeast,2215,2296
Campo Alegre,Alagoas,Northeast,2225,2294
S√£o Miguel dos Campos,Alagoas,Northeast,2150,2353
Barra de S√£o Miguel,Alagoas,Northeast,2112,2394
Roteiro,Alagoas,Northeast,2112,2394
P√£o de A√ß√∫car,Alagoas,Northeast,2144,2350
Palestina,Alagoas,Northeast,2196,2306
Batalha,Alagoas,Northeast,2204,2291
Jaramataia,Alagoas,Northeast,2208,2277
Limoeiro de Anadia,Alagoas,Northeast,2204,2298
Anadia,Alagoas,Northeast,2223,2286
Marechal Deodoro,Alagoas,Northeast,2084,2414
Macei√≥,Alagoas,Northeast,2038,2449
Piranhas,Alagoas,Northeast,2157,2346
S√£o Jos√© da Tapera,Alagoas,Northeast,2172,2326
Jacar√© dos Homens,Alagoas,Northeast,2183,2307
Monteir√≥polis,Alagoas,Northeast,2183,2307
Cra√≠bas,Alagoas,Northeast,2179,2326
Coit√© do N√≥ia,Alagoas,Northeast,2191,2310
Bel√©m,Alagoas,Northeast,2221,2274
Taquarana,Alagoas,Northeast,2221,2274
Maribondo,Alagoas,Northeast,2217,2275
Boca da Mata,Alagoas,Northeast,2225,2249
Pilar,Alagoas,Northeast,2148,2342
Satuba,Alagoas,Northeast,2114,2373
Santa Luzia do Norte,Alagoas,Northeast,2114,2373
Coqueiro Seco,Alagoas,Northeast,2114,2373
Olho d'√Ågua do Casado,Alagoas,Northeast,2167,2339
Senador Rui Palmeira,Alagoas,Northeast,2181,2325
Carneiros,Alagoas,Northeast,2170,2331
Olho d'√Ågua das Flores,Alagoas,Northeast,2166,2325
Oliven√ßa,Alagoas,Northeast,2175,2314
Major Isidoro,Alagoas,Northeast,2189,2305
Igaci,Alagoas,Northeast,2182,2310
Tanque d'Arca,Alagoas,Northeast,2197,2281
Pindoba,Alagoas,Northeast,2239,2243
Atalaia,Alagoas,Northeast,2214,2282
Rio Largo,Alagoas,Northeast,2191,2316
Paripueira,Alagoas,Northeast,2003,2466
Delmiro Gouveia,Alagoas,Northeast,2177,2329
Santana do Ipanema,Alagoas,Northeast,2153,2339
Dois Riachos,Alagoas,Northeast,2164,2322
Cacimbinhas,Alagoas,Northeast,2181,2308
Estrela de Alagoas,Alagoas,Northeast,2148,2338
Palmeira dos √çndios,Alagoas,Northeast,2164,2314
Mar Vermelho,Alagoas,Northeast,2230,2258
Paulo Jacinto,Alagoas,Northeast,2230,2258
Vi√ßosa,Alagoas,Northeast,2236,2257
Cajueiro,Alagoas,Northeast,2255,2225
Capela,Alagoas,Northeast,2235,2250
Messias,Alagoas,Northeast,2209,2297
Barra de Santo Ant√¥nio,Alagoas,Northeast,2076,2410
Pariconha,Alagoas,Northeast,2156,2346
√Ågua Branca,Alagoas,Northeast,2166,2325
Po√ßo das Trincheiras,Alagoas,Northeast,2146,2332
Minador do Negr√£o,Alagoas,Northeast,2164,2311
Quebrangulo,Alagoas,Northeast,2192,2272
Ch√£ Preta,Alagoas,Northeast,2240,2241
Murici,Alagoas,Northeast,2220,2269
Flexeiras,Alagoas,Northeast,2246,2249
S√£o Lu√≠s do Quitunde,Alagoas,Northeast,2143,2361
S√£o Miguel dos Milagres,Alagoas,Northeast,1967,2488
Inhapi,Alagoas,Northeast,2132,2345
Ouro Branco,Alagoas,Northeast,2161,2334
Maravilha,Alagoas,Northeast,2161,2334
Santana do Munda√∫,Alagoas,Northeast,2261,2217
Uni√£o dos Palmares,Alagoas,Northeast,2213,2246
Branquinha,Alagoas,Northeast,2213,2246
Matriz de Camaragibe,Alagoas,Northeast,2205,2307
Passo de Camaragibe,Alagoas,Northeast,2168,2342
Porto de Pedras,Alagoas,Northeast,2098,2405
Mata Grande,Alagoas,Northeast,2125,2371
Canapi,Alagoas,Northeast,2139,2344
Joaquim Gomes,Alagoas,Northeast,2292,2181
Porto Calvo,Alagoas,Northeast,2138,2371
Japaratinga,Alagoas,Northeast,2022,2453
S√£o Jos√© da Laje,Alagoas,Northeast,2267,2193
Ibateguara,Alagoas,Northeast,2241,2225
Maragogi,Alagoas,Northeast,2139,2376
Col√¥nia Leopoldina,Alagoas,Northeast,2300,2181
Novo Lino,Alagoas,Northeast,2270,2219
Jundi√°,Alagoas,Northeast,2245,2257
Campestre,Alagoas,Northeast,2251,2253
Jacu√≠pe,Alagoas,Northeast,2236,2273
Vit√≥ria do Jari,Amapá,North,2266,2312
Laranjal do Jari,Amapá,North,2266,2311
Mazag√£o,Amapá,North,2150,2359
Santana,Amapá,North,2149,2350
Macap√°,Amapá,North,2074,2394
Itaubal,Amapá,North,2180,2288
Porto Grande,Amapá,North,2282,2216
Pedra Branca do Amapari,Amapá,North,2296,2225
Serra do Navio,Amapá,North,2285,2232
Ferreira Gomes,Amapá,North,2217,2268
Cutias,Amapá,North,2191,2274
Tartarugalzinho,Amapá,North,2261,2206
Pracu√∫ba,Amapá,North,2215,2224
Amap√°,Amapá,North,2182,2282
Cal√ßoene,Amapá,North,2222,2262
Oiapoque,Amapá,North,2253,2198
Boca do Acre,Amazonas,North,2147,2313
Pauini,Amazonas,North,2176,2302
Guajar√°,Amazonas,North,2219,2266
Humait√°,Amazonas,North,2134,2353
Envira,Amazonas,North,2216,2282
L√°brea,Amazonas,North,2160,2319
Apu√≠,Amazonas,North,2172,2315
Ipixuna,Amazonas,North,2219,2271
Eirunep√©,Amazonas,North,2203,2285
Canutama,Amazonas,North,2159,2334
Itamarati,Amazonas,North,2199,2290
Manicor√©,Amazonas,North,2170,2331
Tapau√°,Amazonas,North,2169,2328
Novo Aripuan√£,Amazonas,North,2129,2355
Carauari,Amazonas,North,2209,2295
Atalaia do Norte,Amazonas,North,2230,2269
Benjamin Constant,Amazonas,North,2218,2282
Borba,Amazonas,North,2170,2326
Tabatinga,Amazonas,North,2236,2263
Coari,Amazonas,North,2126,2366
Beruri,Amazonas,North,2168,2295
Nova Olinda do Norte,Amazonas,North,2178,2307
Codaj√°s,Amazonas,North,2203,2295
Careiro,Amazonas,North,2172,2282
Anori,Amazonas,North,2144,2340
Anam√£,Amazonas,North,2093,2371
Autazes,Amazonas,North,2150,2327
S√£o Paulo de Oliven√ßa,Amazonas,North,2210,2289
Juru√°,Amazonas,North,2236,2263
Amatur√°,Amazonas,North,2197,2301
Tef√©,Amazonas,North,2144,2359
Manaquiri,Amazonas,North,2101,2353
Mau√©s,Amazonas,North,2151,2335
Caapiranga,Amazonas,North,2177,2300
Manacapuru,Amazonas,North,2120,2339
Iranduba,Amazonas,North,2079,2361
Alvar√£es,Amazonas,North,2137,2360
Careiro da V√°rzea,Amazonas,North,2070,2366
Santo Ant√¥nio do I√ß√°,Amazonas,North,2195,2300
Manaus,Amazonas,North,2207,2268
Itacoatiara,Amazonas,North,2090,2370
Urucurituba,Amazonas,North,2153,2321
Uarini,Amazonas,North,2144,2358
Boa Vista do Ramos,Amazonas,North,2210,2290
Tonantins,Amazonas,North,2197,2304
Silves,Amazonas,North,2167,2327
Barreirinha,Amazonas,North,2103,2371
Juta√≠,Amazonas,North,2207,2295
Rio Preto da Eva,Amazonas,North,2198,2266
Itapiranga,Amazonas,North,2103,2364
