STATE,ANNUAL
Acre,2292.590909
Alagoas,2318.078431
Amapá,2275.0625
Amazonas,2320.16129
Bahia,2286.374101
Ceará,2412.711957
Distrito Federal,2300
Espírito Santo,2157.948718
Goiás,2377.654472
Maranhão,2373.926267
Mato Grosso,2361.971631
Mato Grosso do Sul,2339.860759
Minas Gerais,2229.475967
Pará,2326.048611
Paraíba,2379.233184
Paraná,2215.293233
Pernambuco,2314.195652
Piauí,2473.232143
Rio de Janeiro,2148.51087
Rio Grande do Norte,2422.720238
Rio Grande do Sul,2098.814516
Rondônia,2319.538462
Roraima,2334.266667
São Paulo,2261.403101
Santa Catarina,2025.681356
Sergipe,2330.626667
Tocantins,2405.410072
Grand Total,2271.62399
