STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ACRE,2312,2309,2254,2322,2262,2107,2055,2191,2432,2593,2500,2471,2249
ACRE,2312,2309,2254,2322,2262,2107,2055,2191,2432,2593,2500,2471,2249
ACRE,2300,2289,2223,2316,2245,2071,2023,2192,2466,2595,2486,2434,2255
ACRE,2319,2309,2254,2336,2293,2128,2082,2226,2447,2587,2491,2444,2230
ACRE,2301,2293,2239,2314,2230,2123,2019,2193,2421,2597,2527,2411,2245
ACRE,2300,2303,2239,2313,2262,2139,2067,2224,2426,2500,2502,2405,2220
ACRE,2310,2285,2256,2303,2268,2127,2064,2221,2445,2606,2530,2417,2200
ACRE,2294,2309,2250,2296,2256,2135,2064,2223,2416,2526,2472,2389,2198
ACRE,2313,2278,2273,2305,2274,2130,2065,2227,2444,2608,2508,2443,2202
ACRE,2314,2281,2269,2309,2268,2156,2079,2249,2453,2570,2517,2429,2190
ACRE,2316,2272,2249,2335,2281,2146,2099,2254,2477,2575,2498,2401,2202
ACRE,2283,2235,2213,2266,2250,2138,2069,2242,2493,2540,2425,2358,2168
ACRE,2258,2203,2178,2233,2226,2104,2062,2197,2469,2536,2409,2331,2148
ACRE,2296,2270,2244,2313,2226,2127,2073,2251,2475,2567,2453,2359,2197
ACRE,2272,2214,2189,2248,2225,2145,2063,2193,2465,2580,2441,2337,2167
ACRE,2292,2218,2240,2284,2260,2108,2072,2270,2513,2591,2452,2330,2172
ACRE,2288,2250,2183,2273,2251,2170,2084,2234,2488,2570,2439,2339,2178
ACRE,2286,2228,2230,2258,2256,2130,2073,2238,2488,2583,2487,2313,2142
ACRE,2273,2234,2228,2246,2258,2104,2070,2217,2465,2551,2471,2297,2139
ACRE,2267,2238,2193,2241,2248,2152,2087,2205,2451,2530,2396,2303,2156
ACRE,2272,2240,2170,2281,2245,2141,2070,2204,2470,2512,2427,2320,2182
ACRE,2259,2242,2179,2239,2237,2145,2075,2211,2430,2498,2391,2296,2159
ALAGOAS,2415,2678,2670,2652,2373,2150,1975,1975,2196,2465,2606,2637,2606
ALAGOAS,2363,2632,2570,2577,2354,2107,1939,1946,2137,2417,2540,2601,2534
ALAGOAS,2412,2704,2689,2650,2372,2154,1939,1972,2170,2452,2611,2624,2604
ALAGOAS,2383,2691,2611,2599,2407,2108,1952,1947,2128,2437,2549,2601,2565
ALAGOAS,2358,2622,2556,2561,2374,2099,1952,1952,2153,2437,2519,2577,2500
ALAGOAS,2329,2572,2512,2507,2353,2089,1951,1945,2126,2401,2480,2541,2474
ALAGOAS,2309,2530,2501,2508,2306,2077,1918,1915,2090,2374,2472,2548,2469
ALAGOAS,2426,2651,2682,2626,2425,2198,1983,2010,2221,2481,2606,2622,2602
ALAGOAS,2377,2630,2560,2580,2391,2104,1953,1957,2187,2498,2547,2601,2518
ALAGOAS,2292,2494,2471,2490,2297,2052,1899,1898,2071,2371,2460,2538,2461
ALAGOAS,2420,2657,2677,2656,2435,2174,1963,1983,2186,2479,2613,2615,2607
ALAGOAS,2297,2504,2459,2508,2310,2062,1883,1897,2095,2380,2466,2547,2453
ALAGOAS,2286,2517,2462,2482,2313,2070,1872,1873,2055,2363,2435,2536,2458
ALAGOAS,2297,2540,2482,2508,2326,2086,1893,1862,2075,2356,2442,2543,2456
ALAGOAS,2292,2526,2478,2512,2339,2076,1878,1858,2052,2357,2430,2533,2461
ALAGOAS,2294,2522,2486,2523,2337,2091,1877,1877,2062,2345,2422,2533,2459
ALAGOAS,2325,2547,2501,2525,2335,2070,1914,1917,2140,2428,2477,2575,2477
ALAGOAS,2303,2510,2468,2514,2316,2055,1869,1905,2092,2377,2476,2569,2482
ALAGOAS,2296,2518,2462,2507,2315,2058,1864,1888,2074,2364,2454,2556,2485
ALAGOAS,2294,2537,2491,2532,2328,2070,1854,1892,2050,2338,2431,2520,2484
ALAGOAS,2353,2582,2591,2605,2355,2135,1902,1923,2083,2410,2520,2597,2530
ALAGOAS,2394,2647,2648,2643,2413,2166,1927,1969,2151,2442,2558,2601,2561
ALAGOAS,2394,2647,2648,2643,2413,2166,1927,1969,2151,2442,2558,2601,2561
ALAGOAS,2350,2586,2537,2547,2381,2093,1928,1932,2162,2428,2500,2612,2490
ALAGOAS,2306,2535,2472,2517,2317,2072,1886,1911,2084,2377,2449,2581,2467
ALAGOAS,2291,2523,2427,2477,2308,2043,1867,1889,2095,2400,2434,2563,2466
ALAGOAS,2277,2498,2413,2464,2275,2041,1873,1878,2066,2363,2427,2571,2459
ALAGOAS,2298,2506,2473,2504,2314,2056,1868,1872,2083,2383,2453,2581,2490
ALAGOAS,2286,2513,2488,2505,2315,2048,1847,1863,2032,2362,2436,2535,2488
ALAGOAS,2414,2656,2644,2644,2440,2178,1952,1999,2202,2489,2593,2604,2575
ALAGOAS,2449,2671,2672,2682,2481,2205,1987,2043,2257,2551,2604,2628,2612
ALAGOAS,2346,2599,2519,2530,2361,2085,1901,1923,2143,2449,2529,2591,2515
ALAGOAS,2326,2563,2501,2532,2346,2056,1881,1912,2105,2404,2513,2618,2484
ALAGOAS,2307,2541,2466,2521,2332,2062,1864,1896,2075,2372,2482,2607,2469
ALAGOAS,2307,2541,2466,2521,2332,2062,1864,1896,2075,2372,2482,2607,2469
ALAGOAS,2326,2552,2457,2553,2354,2066,1868,1913,2092,2427,2510,2593,2519
ALAGOAS,2310,2560,2498,2513,2323,2045,1839,1862,2061,2402,2486,2594,2534
ALAGOAS,2274,2496,2478,2482,2319,2030,1804,1828,2013,2350,2432,2560,2498
ALAGOAS,2274,2496,2478,2482,2319,2030,1804,1828,2013,2350,2432,2560,2498
ALAGOAS,2275,2494,2471,2489,2316,2038,1807,1832,2011,2359,2439,2552,2488
ALAGOAS,2249,2480,2446,2490,2287,2022,1792,1815,1970,2330,2397,2519,2441
ALAGOAS,2342,2583,2565,2569,2382,2127,1908,1935,2107,2431,2472,2539,2490
ALAGOAS,2373,2625,2604,2604,2391,2138,1922,1956,2144,2450,2531,2580,2534
ALAGOAS,2373,2625,2604,2604,2391,2138,1922,1956,2144,2450,2531,2580,2534
ALAGOAS,2373,2625,2604,2604,2391,2138,1922,1956,2144,2450,2531,2580,2534
ALAGOAS,2339,2599,2516,2529,2345,2069,1890,1903,2136,2448,2514,2600,2514
ALAGOAS,2325,2548,2505,2517,2333,2065,1869,1887,2119,2430,2517,2609,2493
ALAGOAS,2331,2544,2489,2540,2356,2067,1862,1894,2117,2442,2531,2637,2488
ALAGOAS,2325,2550,2484,2555,2349,2067,1861,1881,2089,2416,2523,2632,2493
ALAGOAS,2314,2569,2486,2542,2325,2059,1853,1868,2058,2386,2512,2615,2495
ALAGOAS,2305,2556,2448,2518,2318,2054,1842,1880,2057,2383,2492,2599,2506
ALAGOAS,2310,2538,2464,2523,2339,2058,1851,1879,2069,2402,2489,2601,2510
ALAGOAS,2281,2498,2471,2488,2311,2042,1795,1829,2015,2379,2467,2589,2490
ALAGOAS,2243,2468,2455,2487,2297,2028,1775,1805,1956,2319,2395,2502,2424
ALAGOAS,2282,2505,2492,2517,2356,2076,1859,1868,2030,2369,2400,2484,2432
ALAGOAS,2316,2561,2539,2539,2351,2089,1889,1907,2084,2394,2449,2529,2465
ALAGOAS,2466,2703,2673,2696,2483,2236,2002,2052,2255,2579,2622,2671,2617
ALAGOAS,2329,2598,2512,2524,2320,2056,1861,1881,2103,2443,2529,2607,2511
ALAGOAS,2339,2569,2501,2567,2356,2083,1856,1888,2099,2435,2560,2633,2517
ALAGOAS,2322,2587,2484,2531,2330,2078,1829,1882,2079,2422,2527,2602,2514
ALAGOAS,2308,2551,2465,2515,2306,2066,1826,1883,2067,2409,2501,2597,2511
ALAGOAS,2338,2547,2496,2539,2356,2070,1849,1889,2108,2475,2549,2636,2539
ALAGOAS,2314,2525,2468,2520,2341,2059,1836,1871,2080,2430,2516,2610,2508
ALAGOAS,2258,2486,2472,2488,2300,2016,1759,1811,1973,2353,2433,2549,2457
ALAGOAS,2258,2486,2472,2488,2300,2016,1759,1811,1973,2353,2433,2549,2457
ALAGOAS,2257,2481,2478,2497,2326,2031,1776,1815,1968,2330,2408,2523,2446
ALAGOAS,2225,2452,2425,2453,2323,2038,1795,1795,1942,2296,2336,2464,2378
ALAGOAS,2250,2467,2434,2482,2325,2051,1819,1820,1989,2349,2379,2488,2405
ALAGOAS,2297,2540,2516,2532,2358,2079,1856,1879,2041,2382,2427,2513,2440
ALAGOAS,2410,2666,2618,2663,2443,2193,1958,1993,2181,2475,2543,2616,2576
ALAGOAS,2346,2595,2531,2522,2350,2080,1854,1890,2122,2479,2559,2643,2525
