ID,LON,LAT,NAME,CLASS,STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
30670,-68.7463,-11.0109,Brasiléia,Sede Municipal,ACRE,3438.00,2629.00,2531.00,2094.00,3497.00,3216.00,4046.00,4352.00,4546.00,4067.00,3775.00,3698.00,2802.00
30670,-68.7442,-11.0293,Epitaciolândia,Sede Municipal,ACRE,3438.00,2629.00,2531.00,2094.00,3497.00,3216.00,4046.00,4352.00,4546.00,4067.00,3775.00,3698.00,2802.00
30970,-69.5658,-10.9394,Assis Brasil,Sede Municipal,ACRE,3453.00,2716.00,2574.00,2063.00,3433.00,3159.00,3905.00,4402.00,4832.00,4237.00,3749.00,3567.00,2800.00
31603,-68.4973,-10.652,Xapuri,Sede Municipal,ACRE,3413.00,2581.00,2451.00,2159.00,3494.00,3212.00,4172.00,4430.00,4609.00,4005.00,3667.00,3509.00,2673.00
31929,-67.6768,-10.5749,Capixaba,Sede Municipal,ACRE,3269.00,2263.00,2321.00,2113.00,3116.00,3166.00,3818.00,4178.00,4458.00,3983.00,3827.00,3345.00,2639.00
32906,-67.186,-10.3257,Plácido de Castro,Sede Municipal,ACRE,3223.00,2202.00,2293.00,2161.00,3114.00,3166.00,4030.00,4327.00,4380.00,3549.00,3661.00,3221.00,2574.00
33560,-67.7367,-10.1501,Senador Guiomard,Sede Municipal,ACRE,3252.00,2243.00,2391.00,2007.00,3096.00,3065.00,3927.00,4208.00,4482.00,3998.00,3772.00,3305.00,2529.00
33567,-67.0531,-10.0755,Acrelândia,Sede Municipal,ACRE,3165.00,2298.00,2321.00,2046.00,3033.00,3102.00,3969.00,4242.00,4294.00,3580.00,3516.00,3125.00,2452.00
33902,-67.8253,-9.9758,Rio Branco,Capital Estadual,ACRE,3259.00,2282.00,2455.00,2031.00,3076.00,3047.00,3923.00,4155.00,4477.00,4026.00,3723.00,3397.00,2516.00
34602,-67.9523,-9.834,Bujari,Sede Municipal,ACRE,3287.00,2344.00,2495.00,2031.00,3053.00,3156.00,4044.00,4280.00,4512.00,3898.00,3780.00,3351.00,2500.00
35335,-67.5408,-9.5942,Porto Acre,Sede Municipal,ACRE,3229.00,2206.00,2332.00,2071.00,3014.00,3076.00,4019.00,4336.00,4641.00,3756.00,3625.00,3194.00,2477.00
36055,-70.4907,-9.4469,Santa Rosa do Purus,Sede Municipal,ACRE,3338.00,2598.00,2649.00,1957.00,3106.00,3282.00,3955.00,4420.00,4864.00,3985.00,3504.00,3235.00,2503.00
36796,-71.9482,-9.1969,Jordão,Sede Municipal,ACRE,3385.00,2735.00,2826.00,1767.00,3148.00,3277.00,3958.00,4298.00,4923.00,4168.00,3567.00,3364.00,2590.00
37207,-68.6718,-9.0639,Sena Madureira,Sede Municipal,ACRE,3190.00,2302.00,2551.00,2066.00,2784.00,3026.00,3829.00,4164.00,4569.00,3828.00,3517.00,3141.00,2500.00
37924,-72.8002,-8.9394,Marechal Thaumaturgo,Sede Municipal,ACRE,3543.00,2907.00,3146.00,1850.00,3191.00,3557.00,3967.00,4255.00,4959.00,4511.00,3800.00,3579.00,2795.00
38341,-69.2684,-8.8333,Manoel Urbano,Sede Municipal,ACRE,3220.00,2291.00,2647.00,1935.00,2916.00,2933.00,3817.00,4279.00,4765.00,4040.00,3536.00,3081.00,2407.00
