REGION,STATE,MONTH,VALUE
North,Acre,JAN,4589.681818
North,Acre,FEB,4701.954545
North,Acre,MAR,4240.181818
North,Acre,APR,4449.045455
North,Acre,MAY,4052.681818
North,Acre,JUN,4108.045455
North,Acre,JUL,4319.090909
North,Acre,AUG,4949.954545
North,Acre,SEP,5106.954545
North,Acre,OCT,5079.454545
North,Acre,NOV,4975
North,Acre,DEC,4651.045455
Northeast,Alagoas,JAN,6031.637255
Northeast,Alagoas,FEB,5902.833333
Northeast,Alagoas,MAR,5896.196078
Northeast,Alagoas,APR,5143.382353
Northeast,Alagoas,MAY,4311.470588
Northeast,Alagoas,JUN,3960.960784
Northeast,Alagoas,JUL,4067.911765
Northeast,Alagoas,AUG,4690.127451
Northeast,Alagoas,SEP,5493.735294
Northeast,Alagoas,OCT,5826.509804
Northeast,Alagoas,NOV,6321.323529
Northeast,Alagoas,DEC,6273.313725
North,Amapá,JAN,4293.3125
North,Amapá,FEB,4100.9375
North,Amapá,MAR,4089.625
North,Amapá,APR,4160.375
North,Amapá,MAY,4481.9375
North,Amapá,JUN,4722.0625
North,Amapá,JUL,4914.8125
North,Amapá,AUG,5278.125
North,Amapá,SEP,5441
North,Amapá,OCT,5328.8125
North,Amapá,NOV,5125.6875
North,Amapá,DEC,4524
North,Amazonas,JAN,4215.096774
North,Amazonas,FEB,4407.209677
North,Amazonas,MAR,4301.322581
North,Amazonas,APR,4128.725806
North,Amazonas,MAY,3964.951613
North,Amazonas,JUN,4321.483871
North,Amazonas,JUL,4383.532258
North,Amazonas,AUG,4993.387097
North,Amazonas,SEP,5059.387097
North,Amazonas,OCT,4967.790323
North,Amazonas,NOV,4766.225806
North,Amazonas,DEC,4405.080645
Northeast,Bahia,JAN,6125.517986
Northeast,Bahia,FEB,6046.784173
Northeast,Bahia,MAR,5709.685851
Northeast,Bahia,APR,4876.693046
Northeast,Bahia,MAY,4258.63789
Northeast,Bahia,JUN,3954.167866
Northeast,Bahia,JUL,4172.985612
Northeast,Bahia,AUG,4761.035971
Northeast,Bahia,SEP,5490.455635
Northeast,Bahia,OCT,5675.568345
Northeast,Bahia,NOV,5730.095923
Northeast,Bahia,DEC,6141.601918
Northeast,Ceará,JAN,5467.266304
Northeast,Ceará,FEB,5522.277174
Northeast,Ceará,MAR,5488.461957
Northeast,Ceará,APR,5077.711957
Northeast,Ceará,MAY,5096.407609
Northeast,Ceará,JUN,5019.820652
Northeast,Ceará,JUL,5337.548913
Northeast,Ceará,AUG,6041.831522
Northeast,Ceará,SEP,6424.538043
Northeast,Ceará,OCT,6397.36413
Northeast,Ceará,NOV,6318.076087
Northeast,Ceará,DEC,5789.065217
Mid West,Distrito Federal,JAN,5332
Mid West,Distrito Federal,FEB,5644
Mid West,Distrito Federal,MAR,5000
Mid West,Distrito Federal,APR,4965
Mid West,Distrito Federal,MAY,4798
Mid West,Distrito Federal,JUN,4719
Mid West,Distrito Federal,JUL,5019
Mid West,Distrito Federal,AUG,5903
Mid West,Distrito Federal,SEP,5712
Mid West,Distrito Federal,OCT,5545
Mid West,Distrito Federal,NOV,5017
Mid West,Distrito Federal,DEC,5362
Southeast,Espírito Santo,JAN,6047.179487
Southeast,Espírito Santo,FEB,6219.923077
Southeast,Espírito Santo,MAR,5198.794872
Southeast,Espírito Santo,APR,4503.25641
Southeast,Espírito Santo,MAY,3839.910256
Southeast,Espírito Santo,JUN,3589.794872
Southeast,Espírito Santo,JUL,3675.615385
Southeast,Espírito Santo,AUG,4341.769231
Southeast,Espírito Santo,SEP,4809.358974
Southeast,Espírito Santo,OCT,4971.666667
Southeast,Espírito Santo,NOV,4915.141026
Southeast,Espírito Santo,DEC,5739.410256
Mid West,Goiás,JAN,5542.552846
Mid West,Goiás,FEB,5677.638211
Mid West,Goiás,MAR,5235.414634
Mid West,Goiás,APR,5163.292683
Mid West,Goiás,MAY,4838.455285
Mid West,Goiás,JUN,4594.463415
Mid West,Goiás,JUL,4824.788618
Mid West,Goiás,AUG,5657.873984
Mid West,Goiás,SEP,5524.658537
Mid West,Goiás,OCT,5582.674797
Mid West,Goiás,NOV,5366.772358
Mid West,Goiás,DEC,5565.504065
Northeast,Maranhão,JAN,4760.677419
Northeast,Maranhão,FEB,4858.359447
Northeast,Maranhão,MAR,4843.271889
Northeast,Maranhão,APR,4810.276498
Northeast,Maranhão,MAY,4861.976959
Northeast,Maranhão,JUN,5081.847926
Northeast,Maranhão,JUL,5270.548387
Northeast,Maranhão,AUG,5794.774194
Northeast,Maranhão,SEP,6036.585253
Northeast,Maranhão,OCT,5682.552995
Northeast,Maranhão,NOV,5357.193548
Northeast,Maranhão,DEC,5055.202765
Mid West,Mato Grosso,JAN,5160.843972
Mid West,Mato Grosso,FEB,5135.978723
Mid West,Mato Grosso,MAR,4950.049645
