STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ACRE,4620,4655,4653,4268,4566,3945,4079,4285,4858,5102,5105,5157,4771
ACRE,4620,4655,4653,4268,4566,3945,4079,4285,4858,5102,5105,5157,4771
ACRE,4615,4678,4661,4231,4532,3917,4026,4283,4947,5136,5092,5102,4771
ACRE,4607,4629,4586,4281,4578,3962,4125,4332,4894,5068,5071,5077,4686
ACRE,4542,4486,4527,4264,4395,3957,3983,4228,4823,5070,5138,4952,4677
ACRE,4523,4476,4490,4266,4385,3968,4093,4300,4829,4853,5073,4917,4626
ACRE,4558,4483,4594,4218,4417,3943,4088,4271,4874,5097,5137,4967,4611
ACRE,4515,4521,4522,4247,4371,3960,4084,4284,4807,4915,5008,4885,4574
ACRE,4560,4470,4608,4216,4414,3946,4088,4263,4866,5104,5105,5035,4606
ACRE,4567,4501,4621,4231,4401,4011,4111,4316,4885,5031,5131,4989,4580
ACRE,4547,4411,4549,4278,4376,3975,4122,4333,4946,5010,5064,4914,4589
ACRE,4591,4585,4698,4184,4434,4087,4106,4372,5028,5071,5006,4945,4580
ACRE,4640,4685,4804,4118,4494,4132,4151,4367,5047,5174,5038,5006,4669
ACRE,4539,4479,4619,4286,4302,3959,4081,4303,4940,5035,5008,4882,4573
ACRE,4705,4717,4931,4178,4514,4261,4149,4357,5063,5333,5149,5067,4741
ACRE,4555,4458,4702,4220,4375,3967,4104,4381,5014,5120,5003,4802,4515
ACRE,4731,4779,4887,4257,4537,4301,4184,4419,5124,5306,5140,5056,4779
ACRE,4602,4555,4804,4236,4397,4088,4115,4341,5005,5193,5118,4843,4533
ACRE,4557,4505,4806,4211,4384,3993,4088,4275,4951,5090,5090,4785,4503
ACRE,4680,4755,4923,4243,4490,4278,4184,4339,5049,5208,5028,4957,4708
ACRE,4703,4752,4903,4335,4496,4279,4173,4323,5095,5200,5115,5005,4759
ACRE,4663,4738,4902,4248,4455,4285,4164,4363,4996,5135,5024,4950,4701
ALAGOAS,5441,6151,6169,6059,5039,4366,4106,4158,4855,5535,6017,6358,6473
ALAGOAS,5338,6097,5947,5891,5045,4298,4042,4110,4722,5442,5861,6297,6312
ALAGOAS,5439,6257,6212,6051,5040,4364,4031,4142,4785,5523,6027,6346,6488
ALAGOAS,5434,6333,6118,5996,5239,4349,4101,4151,4716,5538,5903,6349,6408
ALAGOAS,5399,6221,6007,5932,5205,4363,4123,4185,4773,5552,5852,6291,6284
ALAGOAS,5321,6069,5904,5799,5144,4314,4098,4159,4736,5465,5763,6206,6201
ALAGOAS,5265,5979,5848,5791,5008,4252,4037,4085,4635,5388,5749,6213,6189
ALAGOAS,5462,6126,6183,5996,5152,4440,4127,4222,4905,5577,6021,6344,6454
ALAGOAS,5463,6289,6051,5999,5276,4383,4141,4214,4867,5694,5930,6379,6328
ALAGOAS,5252,5911,5811,5773,5030,4228,4001,4072,4628,5412,5747,6210,6195
ALAGOAS,5455,6133,6178,6052,5177,4395,4075,4168,4839,5582,6045,6334,6488
ALAGOAS,5290,6010,5815,5843,5091,4266,3992,4098,4682,5461,5774,6247,6205
ALAGOAS,5246,5966,5788,5762,5062,4264,3959,4025,4600,5402,5696,6217,6209
ALAGOAS,5258,6023,5811,5804,5061,4293,3991,3969,4642,5368,5711,6221,6205
ALAGOAS,5237,5999,5806,5804,5069,4271,3934,3975,4556,5354,5681,6193,6200
ALAGOAS,5230,5961,5808,5811,5038,4282,3930,3989,4581,5314,5664,6196,6185
ALAGOAS,5374,6106,5948,5903,5211,4360,4066,4154,4787,5560,5804,6341,6250
ALAGOAS,5316,6065,5840,5855,5113,4249,3977,4120,4683,5450,5821,6324,6290
ALAGOAS,5288,6047,5817,5833,5096,4246,3958,4072,4644,5404,5764,6285,6289
ALAGOAS,5238,5960,5832,5843,5054,4239,3893,4029,4570,5312,5689,6179,6261
ALAGOAS,5319,6011,5976,5945,5026,4323,3963,4050,4611,5438,5844,6326,6311
ALAGOAS,5398,6125,6105,6021,5137,4364,3993,4159,4768,5496,5906,6322,6382
ALAGOAS,5398,6125,6105,6021,5137,4364,3993,4159,4768,5496,5906,6322,6382
ALAGOAS,5447,6201,6071,5984,5326,4435,4130,4222,4848,5568,5863,6425,6287
ALAGOAS,5341,6070,5901,5898,5190,4389,4012,4128,4669,5467,5758,6367,6241
ALAGOAS,5309,6067,5785,5811,5152,4279,3975,4097,4724,5504,5731,6323,6261
ALAGOAS,5269,6029,5731,5783,5080,4237,3972,4050,4646,5427,5711,6356,6206
ALAGOAS,5290,6002,5809,5825,5090,4243,3941,4040,4661,5451,5762,6358,6302
ALAGOAS,5234,5928,5819,5794,5058,4200,3903,3962,4551,5381,5702,6236,6275
